,sample_size,power,avg_eta_sqr
1616,107,0.43333333333333335,0.7131481755698735
1617,107,0.5666666666666667,0.7642125319271841
1618,107,0.36666666666666664,0.8018359860720753
1619,107,0.5333333333333333,0.8484752420785261
1620,107,0.3333333333333333,0.88709802299856
1621,107,0.43333333333333335,0.933518403541809
1622,107,0.26666666666666666,0.9655113953128016
1623,107,0.43333333333333335,1.0151817556522045
1624,107,0.36666666666666664,1.056567648314693
1625,107,0.5,1.1111164884445186
1626,107,0.5666666666666667,1.162475365271321
1627,107,0.43333333333333335,1.2023806573535132
1628,107,0.3,1.2350306897631993
1629,107,0.43333333333333335,1.276435798750235
1630,107,0.36666666666666664,1.324782254580916
1631,107,0.5333333333333333,1.3708996616480351
1632,107,0.4,1.4094369976527445
1633,107,0.4666666666666667,1.4540315980417524
1634,107,0.5333333333333333,1.5002755987210812
1635,107,0.4,1.541534667121798
1636,107,0.3,1.5744835353893385
1637,107,0.4666666666666667,1.6184625762857527
1638,107,0.4,1.655050155070057
1639,107,0.4666666666666667,1.6960307854687422
1640,107,0.36666666666666664,1.7293468109756065
1641,107,0.43333333333333335,1.777403491326354
1642,107,0.36666666666666664,1.8209620125104236
1643,107,0.4666666666666667,1.8640672544662098
1644,107,0.43333333333333335,1.9136437868657705
1645,107,0.43333333333333335,1.957666531257689
1646,107,0.5333333333333333,2.0053134962792227
1647,107,0.4666666666666667,2.053910210178066
1648,107,0.36666666666666664,2.0918844423587597
1649,107,0.4,2.1261784575815943
1650,110,0.6,0.0545315675440758
1651,110,0.36666666666666664,0.09265666365260965
1652,110,0.5333333333333333,0.14023734688124742
1653,110,0.4666666666666667,0.18583820441790408
1654,110,0.43333333333333335,0.21979386995679132
1655,110,0.6333333333333333,0.27138279837988566
1656,110,0.4,0.3201133324094499
1657,110,0.4666666666666667,0.3683976539224002
1658,110,0.4,0.40380660096502846
1659,110,0.43333333333333335,0.4446557304098516
1660,110,0.4666666666666667,0.49328225612699794
1661,110,0.5333333333333333,0.5446225519202947
1662,110,0.5333333333333333,0.5884181030937722
1663,110,0.6333333333333333,0.6353524169664252
1664,110,0.5,0.6763055916894928
1665,110,0.4,0.7149633680534043
1666,110,0.3,0.7436290614502238
1667,110,0.36666666666666664,0.7830599088400352
1668,110,0.5666666666666667,0.829821098242889
1669,110,0.4,0.8593437592506332
1670,110,0.36666666666666664,0.8952736412604486
1671,110,0.6,0.9485814012688947
1672,110,0.4,0.9890104738847999
1673,110,0.6,1.036779915127113
1674,110,0.5,1.083032239879938
1675,110,0.5333333333333333,1.13547491646365
1676,110,0.4666666666666667,1.1779199694881632
1677,110,0.36666666666666664,1.2176063241613704
1678,110,0.4666666666666667,1.25124014408944
1679,110,0.4666666666666667,1.2895574824385874
1680,110,0.36666666666666664,1.326375179265255
1681,110,0.43333333333333335,1.3623882049291487
1682,110,0.4,1.3999364845297761
1683,110,0.4,1.4450061064684845
1684,110,0.43333333333333335,1.4814288748219353
1685,110,0.6333333333333333,1.5299089152577523
1686,110,0.5666666666666667,1.567704351844627
1687,110,0.5666666666666667,1.610214113270015
1688,110,0.4666666666666667,1.6562582268541601
1689,110,0.5333333333333333,1.705941796554998
1690,110,0.4666666666666667,1.7411450253089067
1691,110,0.36666666666666664,1.7786099952291268
1692,110,0.5,1.8218474714559039
1693,110,0.43333333333333335,1.862259830591104
1694,110,0.4666666666666667,1.9042438596725666
1695,110,0.36666666666666664,1.9443552934943076
1696,110,0.4666666666666667,1.9881487752220992
1697,110,0.3333333333333333,2.0293136518594235
1698,110,0.3333333333333333,2.0657873743515185
1699,110,0.3,2.0976705578407495
1700,112,0.6333333333333333,0.0540904317950703
1701,112,0.5666666666666667,0.0972760875706138
1702,112,0.6,0.14878805639511264
1703,112,0.4,0.1934469449016824
1704,112,0.4666666666666667,0.23521874685192812
1705,112,0.5,0.2816637754266139
1706,112,0.3333333333333333,0.3155632569626965
1707,112,0.5,0.3631850471490145
1708,112,0.5666666666666667,0.40859805997261234
1709,112,0.4666666666666667,0.4493468027682306
1710,112,0.4,0.48961297127030057
1711,112,0.26666666666666666,0.518731805463555
1712,112,0.4666666666666667,0.5563241779583488
1713,112,0.5666666666666667,0.6033900484506074
1714,112,0.43333333333333335,0.6442018788159686
1715,112,0.26666666666666666,0.6765104867406063
1716,112,0.43333333333333335,0.7137235788496172
1717,112,0.5,0.7572080296409839
1718,112,0.43333333333333335,0.807515982231182
1719,112,0.36666666666666664,0.8518176022140637
1720,112,0.43333333333333335,0.8872556034468233
1721,112,0.3333333333333333,0.9171146702323906
1722,112,0.43333333333333335,0.9565991032262896
1723,112,0.4666666666666667,1.0070695679062067
1724,112,0.43333333333333335,1.0454348857945786
1725,112,0.36666666666666664,1.0799839437237333
1726,112,0.5,1.1220554646267984
1727,112,0.5333333333333333,1.1651505752030173
1728,112,0.5333333333333333,1.2085124072878368
1729,112,0.3333333333333333,1.2514766257198853
1730,112,0.5,1.2945408888659118
1731,112,0.6,1.3542470217322944
1732,112,0.4666666666666667,1.4082891920287173
1733,112,0.3,1.4432824252801497
1734,112,0.5666666666666667,1.4910611957792852
1735,112,0.4,1.5259258929321229
1736,112,0.43333333333333335,1.5635415982277425
1737,112,0.26666666666666666,1.5949618745400136
1738,112,0.5,1.6370980656560699
1739,112,0.3333333333333333,1.6767435759549456
1740,112,0.5333333333333333,1.7145574102530527
1741,112,0.5,1.7555050035440094
1742,112,0.5666666666666667,1.8100517970540466
1743,112,0.4666666666666667,1.851212940795476
1744,112,0.4666666666666667,1.887722273990984
1745,112,0.43333333333333335,1.9256777274202512
1746,112,0.3,1.9540194560553716
1747,112,0.36666666666666664,1.9875130505603535
1748,112,0.4666666666666667,2.026335482269703
1749,112,0.4666666666666667,2.073938742953703
1750,115,0.43333333333333335,0.03451988515679642
1751,115,0.2,0.05783653572120985
1752,115,0.4666666666666667,0.10298322568935717
1753,115,0.43333333333333335,0.14349583044703582
1754,115,0.43333333333333335,0.1790001651771885
1755,115,0.6333333333333333,0.23198106090366577
1756,115,0.4,0.2684073805420393
1757,115,0.43333333333333335,0.3074939845108816
1758,115,0.5333333333333333,0.3463948282005942
1759,115,0.4,0.3778804223341788
1760,115,0.5,0.41377356993494335
1761,115,0.4,0.45185493137862515
1762,115,0.6,0.4958187763343717
1763,115,0.5,0.5420953962533009
1764,115,0.4666666666666667,0.585437551510982
1765,115,0.5,0.6241858940726579
1766,115,0.4666666666666667,0.6647959206783146
1767,115,0.5666666666666667,0.7116290994521636
1768,115,0.5333333333333333,0.7531066526924755
1769,115,0.6333333333333333,0.8045285964352661
