id,created_at,author_id,text,clean_text,code
1266790732515459072,2020-05-30 17:57:01+00:00,39777405,@NBCNews @JoeMyGod White supremacists go home. GTFO of my state!,White supremacists go home. GTFO of my state!,-1
1266790753893847040,2020-05-30 17:57:06+00:00,21421178,@NBCNews This is unconstitutional,This is unconstitutional,-1
1266790908982374401,2020-05-30 17:57:43+00:00,1188173161185058821,@NBCNews 14. So the current narrative from officials is going to be that these are racially charged riots. They're trying to find a link between these riots and white supremacists who are organizing the riots and they're trying to call it a terrorist cell.,14. So the current narrative from officials is going to be that these are racially charged riots. They're trying to find a link between these riots and white supremacists who are organizing the riots and they're trying to call it a terrorist cell.,-1
1266791070500892678,2020-05-30 17:58:21+00:00,2715103010,@NBCNews Dem lies,Dem lies,-1
1266791111944802306,2020-05-30 17:58:31+00:00,1258157776217530369,@NBCNews Don’t forget the white spies demonstrating along with the undercover police,Don’t forget the white spies demonstrating along with the undercover police,-1
1266791798313291776,2020-05-30 18:01:15+00:00,1188173161185058821,@NBCNews 15. Officials are manipulating a narrative before our eyes declaring that the riots are being organized by organized crime in the form of a terrorist cell of white supremacists are attacking the Twin Cities using social media platforms to do it.,15. Officials are manipulating a narrative before our eyes declaring that the riots are being organized by organized crime in the form of a terrorist cell of white supremacists are attacking the Twin Cities using social media platforms to do it.,-1
1266792036000313344,2020-05-30 18:02:11+00:00,2715103010,@NBCNews This is a lie and a Dem planned narrative to shift blame.,This is a lie and a Dem planned narrative to shift blame.,-1
1266792508622802944,2020-05-30 18:04:04+00:00,1188173161185058821,"@NBCNews 16. Now you can't disbute the narrative because the message is being delivered to you by a black man so you must accept this narrative as fact, even if you THINK you have heard or seen anything different for yourself.","16. Now you can't disbute the narrative because the message is being delivered to you by a black man so you must accept this narrative as fact, even if you THINK you have heard or seen anything different for yourself.",-1
1266792972185731074,2020-05-30 18:05:55+00:00,214948940,"@NBCNews As usual, one of George Soros organizations including Antifa.","As usual, one of George Soros organizations including Antifa.",-1
1266793111516315651,2020-05-30 18:06:28+00:00,753928519579602944,@NBCNews except st. paul police officer was also caught breaking windows.  https://t.co/Ax9pADZKmz,except st. paul police officer was also caught breaking windows.  https://t.co/Ax9pADZKmz,-1
1266793287131766784,2020-05-30 18:07:10+00:00,31313928,@NBCNews So... white supremacists are getting together and traveling in from out of state as a cover for some other illegal activity?  This theory strikes me as a bit convoluted and not entirely plausible,So... white supremacists are getting together and traveling in from out of state as a cover for some other illegal activity?  This theory strikes me as a bit convoluted and not entirely plausible,-1
1266793457558761473,2020-05-30 18:07:50+00:00,1053836005109710848,@NBCNews George Soros should be ashamed,George Soros should be ashamed,-1
1266793483450245120,2020-05-30 18:07:56+00:00,4220026973,@NBCNews Bet it’s Trump’s brain dead white supremecists stirring up trouble in Atlanta.,Bet it’s Trump’s brain dead white supremecists stirring up trouble in Atlanta.,-1
1266793826561245186,2020-05-30 18:09:18+00:00,1188173161185058821,@NBCNews 17. The very thing that is missing from this entire situation and why We The People are so tired of MSM and our leaders is the TRUTH. Honesty is omitted from everything that they say and do even when we can see everything ourselves in real-time. We need truth,17. The very thing that is missing from this entire situation and why We The People are so tired of MSM and our leaders is the TRUTH. Honesty is omitted from everything that they say and do even when we can see everything ourselves in real-time. We need truth,-1
1266793995901992963,2020-05-30 18:09:59+00:00,260088788,@NBCNews @WillieGeist What a joke!,What a joke!,-1
1266794551764795392,2020-05-30 18:12:11+00:00,1716223153,@NBCNews Bullshit..,Bullshit..,-1
1266794612921958400,2020-05-30 18:12:26+00:00,1048051548423643136,@NBCNews Not surprising. NBC is a contributor to these kinds of events.  You stoke the fire of hate for about 4 yrs and report on the effects of your hatred.  I do hope you're proud of your efforts.,Not surprising. NBC is a contributor to these kinds of events.  You stoke the fire of hate for about 4 yrs and report on the effects of your hatred.  I do hope you're proud of your efforts.,-1
